Plan of Management,Year,Quarter,Total Visits,Full Day,Part Day,Exempt,Scenic Flights,Coral Viewing
Cairns Plan Of Mgmt,2025,Oct-Dec 2025,238657,164173,19539,11088,1019,42838
Hinchinbrook Plan Of Mgmt,2025,Oct-Dec 2025,869,369,457,23,20,0
Whitsunday Plan Of Mgmt,2025,Oct-Dec 2025,292526,200393,32330,28055,25711,6037
Cairns Plan Of Mgmt,2025,Jul-Sep 2025,266041,181059,24007,10972,938,49065
Hinchinbrook Plan Of Mgmt,2025,Jul-Sep 2025,1693,734,526,403,30,0
Whitsunday Plan Of Mgmt,2025,Jul-Sep 2025,280450,191288,27309,33697,20090,8066
Cairns Plan Of Mgmt,2025,Apr-Jun 2025,184918,131805,13351,8072,570,31120
Hinchinbrook Plan Of Mgmt,2025,Apr-Jun 2025,593,155,390,14,34,0
Whitsunday Plan Of Mgmt,2025,Apr-Jun 2025,223166,157546,22799,22166,15180,5475
Cairns Plan Of Mgmt,2025,Jan-Mar 2025,183706,131349,12619,6800,680,32258
Hinchinbrook Plan Of Mgmt,2025,Jan-Mar 2025,564,122,430,0,0,0
Whitsunday Plan Of Mgmt,2025,Jan-Mar 2025,230125,166997,23936,18288,15581,5323
Cairns Plan Of Mgmt,2024,Oct-Dec 2024,230209,165156,16086,10709,798,37460
Hinchinbrook Plan Of Mgmt,2024,Oct-Dec 2024,951,235,615,85,16,0
Whitsunday Plan Of Mgmt,2024,Oct-Dec 2024,282707,195477,32761,28741,19496,6232
Cairns Plan Of Mgmt,2024,Jul-Sep 2024,236411,166367,14497,11110,555,43882
Hinchinbrook Plan Of Mgmt,2024,Jul-Sep 2024,1162,419,497,232,14,0
Whitsunday Plan Of Mgmt,2024,Jul-Sep 2024,254720,177828,26290,30457,13618,6527
Cairns Plan Of Mgmt,2024,Apr-Jun 2024,185032,135883,7908,8369,527,32345
Hinchinbrook Plan Of Mgmt,2024,Apr-Jun 2024,609,206,331,52,20,0
Whitsunday Plan Of Mgmt,2024,Apr-Jun 2024,215838,148012,24667,23199,15671,4289
Cairns Plan Of Mgmt,2024,Jan-Mar 2024,191949,139987,8927,8437,843,33755
Hinchinbrook Plan Of Mgmt,2024,Jan-Mar 2024,541,78,332,131,0,0
Whitsunday Plan Of Mgmt,2024,Jan-Mar 2024,249212,181720,30184,17727,14298,5283
Cairns Plan Of Mgmt,2023,Oct-Dec 2023,204152,150549,10453,11912,544,30694
Hinchinbrook Plan Of Mgmt,2023,Oct-Dec 2023,1454,250,529,657,18,0
Whitsunday Plan Of Mgmt,2023,Oct-Dec 2023,261922,181079,36421,26210,13583,4629
Cairns Plan Of Mgmt,2023,Jul-Sep 2023,236238,169348,13705,12038,570,40577
Hinchinbrook Plan Of Mgmt,2023,Jul-Sep 2023,1525,466,352,683,24,0
Whitsunday Plan Of Mgmt,2023,Jul-Sep 2023,233063,157241,32231,31728,7823,4040
Cairns Plan Of Mgmt,2023,Apr-Jun 2023,196770,143766,9549,14734,245,28476
Hinchinbrook Plan Of Mgmt,2023,Apr-Jun 2023,953,470,328,139,16,0
Whitsunday Plan Of Mgmt,2023,Apr-Jun 2023,236700,137308,52151,37770,5577,3894
Cairns Plan Of Mgmt,2023,Jan-Mar 2023,173145,134951,6490,13119,102,18483
Hinchinbrook Plan Of Mgmt,2023,Jan-Mar 2023,887,589,277,21,0,0
Whitsunday Plan Of Mgmt,2023,Jan-Mar 2023,209427,130863,55441,18004,4875,244
Cairns Plan Of Mgmt,2022,Oct-Dec 2022,221728,168837,11266,16375,90,25160
Hinchinbrook Plan Of Mgmt,2022,Oct-Dec 2022,1584,803,544,221,16,0
Whitsunday Plan Of Mgmt,2022,Oct-Dec 2022,331146,198297,90632,37648,4569,0
Cairns Plan Of Mgmt,2022,Jul-Sep 2022,237376,179112,12011,15126,69,31058
Hinchinbrook Plan Of Mgmt,2022,Jul-Sep 2022,2223,1282,382,541,18,0
Whitsunday Plan Of Mgmt,2022,Jul-Sep 2022,247439,149280,60080,35401,2678,0
Cairns Plan Of Mgmt,2022,Apr-Jun 2022,162394,122263,8903,9918,58,21252
Hinchinbrook Plan Of Mgmt,2022,Apr-Jun 2022,1078,641,177,246,14,0
Whitsunday Plan Of Mgmt,2022,Apr-Jun 2022,212850,104108,73661,31696,3385,0
Cairns Plan Of Mgmt,2022,Jan-Mar 2022,90613,72210,4587,4441,0,9375
Hinchinbrook Plan Of Mgmt,2022,Jan-Mar 2022,330,282,42,0,0,0
Whitsunday Plan Of Mgmt,2022,Jan-Mar 2022,153693,93750,38288,18446,3209,0
Cairns Plan Of Mgmt,2021,Oct-Dec 2021,81160,60363,7014,4596,106,9081
Hinchinbrook Plan Of Mgmt,2021,Oct-Dec 2021,1056,641,306,91,18,0
Whitsunday Plan Of Mgmt,2021,Oct-Dec 2021,134462,67243,44985,21121,1111,0
Cairns Plan Of Mgmt,2021,Jul-Sep 2021,84158,61831,7983,4038,46,10260
Hinchinbrook Plan Of Mgmt,2021,Jul-Sep 2021,1530,889,417,216,0,0
Whitsunday Plan Of Mgmt,2021,Jul-Sep 2021,143495,81893,33688,26726,1188,0
Cairns Plan Of Mgmt,2021,Apr-Jun 2021,139264,106637,11879,3677,0,17069
Hinchinbrook Plan Of Mgmt,2021,Apr-Jun 2021,1655,1039,374,230,12,0
Whitsunday Plan Of Mgmt,2021,Apr-Jun 2021,185737,92493,57717,32584,2754,189
Cairns Plan Of Mgmt,2021,Jan-Mar 2021,65411,50980,5697,2632,33,6069
Hinchinbrook Plan Of Mgmt,2021,Jan-Mar 2021,478,266,209,0,0,0
Whitsunday Plan Of Mgmt,2021,Jan-Mar 2021,120438,67388,33815,17458,1777,0
Cairns Plan Of Mgmt,2020,Oct-Dec 2020,76181,58669,4592,4482,38,8400
Hinchinbrook Plan Of Mgmt,2020,Oct-Dec 2020,862,451,345,36,30,0
Whitsunday Plan Of Mgmt,2020,Oct-Dec 2020,132805,76105,33818,21281,1601,0
Cairns Plan Of Mgmt,2020,Jul-Sep 2020,52542,40557,3909,2152,0,5924
Hinchinbrook Plan Of Mgmt,2020,Jul-Sep 2020,557,206,227,100,24,0
Whitsunday Plan Of Mgmt,2020,Jul-Sep 2020,93095,56828,18032,17465,770,0
Cairns Plan Of Mgmt,2020,Apr-Jun 2020,2351,1762,390,199,0,0
Hinchinbrook Plan Of Mgmt,2020,Apr-Jun 2020,57,27,30,0,0,0
Whitsunday Plan Of Mgmt,2020,Apr-Jun 2020,6688,4697,445,1495,51,0
Cairns Plan Of Mgmt,2020,Jan-Mar 2020,185051,139456,10665,11201,369,23360
Hinchinbrook Plan Of Mgmt,2020,Jan-Mar 2020,563,313,229,21,0,0
Whitsunday Plan Of Mgmt,2020,Jan-Mar 2020,179878,140662,21603,16076,1537,0
Cairns Plan Of Mgmt,2019,Oct-Dec 2019,301325,204011,15684,23337,7374,50919
Hinchinbrook Plan Of Mgmt,2019,Oct-Dec 2019,1300,753,446,73,28,0
Whitsunday Plan Of Mgmt,2019,Oct-Dec 2019,266666,198251,35120,31175,2120,0
Cairns Plan Of Mgmt,2019,Jul-Sep 2019,304798,207793,17136,19802,10231,49836
Hinchinbrook Plan Of Mgmt,2019,Jul-Sep 2019,1649,837,256,524,32,0
Whitsunday Plan Of Mgmt,2019,Jul-Sep 2019,226684,162242,30525,30752,3165,0
Cairns Plan Of Mgmt,2019,Apr-Jun 2019,227368,154996,13024,16394,950,42004
Hinchinbrook Plan Of Mgmt,2019,Apr-Jun 2019,868,295,381,172,20,0
Whitsunday Plan Of Mgmt,2019,Apr-Jun 2019,174414,131931,20460,20807,1210,0
Cairns Plan Of Mgmt,2019,Jan-Mar 2019,274527,177717,15674,26942,2390,51804
Hinchinbrook Plan Of Mgmt,2019,Jan-Mar 2019,649,253,357,35,0,0
Whitsunday Plan Of Mgmt,2019,Jan-Mar 2019,234837,179659,26422,22510,6246,0
Cairns Plan Of Mgmt,2018,Oct-Dec 2018,303138,202801,15754,28976,4583,51024
Hinchinbrook Plan Of Mgmt,2018,Oct-Dec 2018,1137,321,486,308,22,0
Whitsunday Plan Of Mgmt,2018,Oct-Dec 2018,265551,188036,27626,41522,8358,0
Cairns Plan Of Mgmt,2018,Jul-Sep 2018,333675,221087,22370,31019,3798,55401
Hinchinbrook Plan Of Mgmt,2018,Jul-Sep 2018,1735,866,445,418,0,0
Whitsunday Plan Of Mgmt,2018,Jul-Sep 2018,267733,180349,28409,55786,3189,0
Cairns Plan Of Mgmt,2018,Apr-Jun 2018,252763,162157,14379,22482,4460,49285
Hinchinbrook Plan Of Mgmt,2018,Apr-Jun 2018,800,345,343,110,0,0
Whitsunday Plan Of Mgmt,2018,Apr-Jun 2018,198096,150300,20495,22179,5120,0
Cairns Plan Of Mgmt,2018,Jan-Mar 2018,325065,210350,16879,31071,6601,60164
Hinchinbrook Plan Of Mgmt,2018,Jan-Mar 2018,747,261,445,37,0,0
Whitsunday Plan Of Mgmt,2018,Jan-Mar 2018,255332,192010,29493,21736,12093,0
Cairns Plan Of Mgmt,2017,Oct-Dec 2017,349417,222460,18556,36284,4159,67958
Hinchinbrook Plan Of Mgmt,2017,Oct-Dec 2017,1439,490,785,164,0,0
Whitsunday Plan Of Mgmt,2017,Oct-Dec 2017,278999,195997,34142,37890,10968,0
Cairns Plan Of Mgmt,2017,Jul-Sep 2017,345087,223760,23748,31813,3786,61980
Hinchinbrook Plan Of Mgmt,2017,Jul-Sep 2017,1675,814,499,362,0,0
Whitsunday Plan Of Mgmt,2017,Jul-Sep 2017,252074,180039,28453,36852,6730,0
Cairns Plan Of Mgmt,2017,Apr-Jun 2017,264403,169729,12328,24711,6653,50982
Hinchinbrook Plan Of Mgmt,2017,Apr-Jun 2017,1161,338,699,114,0,0
Whitsunday Plan Of Mgmt,2017,Apr-Jun 2017,161755,118694,17633,16922,8506,0
Cairns Plan Of Mgmt,2017,Jan-Mar 2017,332412,201801,21079,33146,13964,62422
Hinchinbrook Plan Of Mgmt,2017,Jan-Mar 2017,1003,199,695,107,0,0
Whitsunday Plan Of Mgmt,2017,Jan-Mar 2017,262825,179615,34657,37458,10648,447
Cairns Plan Of Mgmt,2016,Oct-Dec 2016,351913,218929,20080,34512,12464,65928
Hinchinbrook Plan Of Mgmt,2016,Oct-Dec 2016,1678,698,805,141,34,0
Whitsunday Plan Of Mgmt,2016,Oct-Dec 2016,323960,211984,39755,58959,12440,822
Cairns Plan Of Mgmt,2016,Jul-Sep 2016,358526,226543,25357,34851,10178,61597
Hinchinbrook Plan Of Mgmt,2016,Jul-Sep 2016,1999,894,672,411,22,0
Whitsunday Plan Of Mgmt,2016,Jul-Sep 2016,273665,177366,33248,51905,10128,1018
Cairns Plan Of Mgmt,2016,Apr-Jun 2016,260901,159947,15140,27247,1342,57225
Hinchinbrook Plan Of Mgmt,2016,Apr-Jun 2016,735,343,271,111,0,0
Whitsunday Plan Of Mgmt,2016,Apr-Jun 2016,210284,140694,30956,30743,7439,452
Cairns Plan Of Mgmt,2016,Jan-Mar 2016,343648,214513,26125,33835,1621,67554
Hinchinbrook Plan Of Mgmt,2016,Jan-Mar 2016,276,191,65,20,0,0
Whitsunday Plan Of Mgmt,2016,Jan-Mar 2016,287994,193846,40182,42212,10993,761
